date,home_team,away_team,full_time_result,season,league
2023-09-16,Barcelona,Betis,H,2023-2024,LaLiga
2023-09-17,Getafe,Osasuna,H,2023-2024,LaLiga
2023-09-17,Villarreal,Almeria,H,2023-2024,LaLiga
2023-09-17,Sevilla,Las Palmas,H,2023-2024,LaLiga
2023-09-17,Real Madrid,Sociedad,H,2023-2024,LaLiga
2023-09-18,Granada,Girona,A,2023-2024,LaLiga
2023-09-22,Alaves,Ath Bilbao,A,2023-2024,LaLiga
2023-09-23,Girona,Mallorca,H,2023-2024,LaLiga
2023-09-23,Osasuna,Sevilla,D,2023-2024,LaLiga
2023-09-23,Barcelona,Celta,H,2023-2024,LaLiga
2023-09-23,Almeria,Valencia,D,2023-2024,LaLiga
2023-09-24,Sociedad,Getafe,H,2023-2024,LaLiga
2023-09-24,Vallecano,Villarreal,D,2023-2024,LaLiga
2023-09-24,Betis,Cadiz,D,2023-2024,LaLiga
2023-09-24,Las Palmas,Granada,H,2023-2024,LaLiga
2023-09-24,Ath Madrid,Real Madrid,H,2023-2024,LaLiga
2023-09-26,Sevilla,Almeria,H,2023-2024,LaLiga
2023-09-26,Mallorca,Barcelona,D,2023-2024,LaLiga
2023-09-27,Ath Bilbao,Getafe,D,2023-2024,LaLiga
2023-09-27,Real Madrid,Las Palmas,H,2023-2024,LaLiga
2023-09-27,Villarreal,Girona,A,2023-2024,LaLiga
2023-09-27,Cadiz,Vallecano,D,2023-2024,LaLiga
2023-09-27,Valencia,Sociedad,A,2023-2024,LaLiga
2023-09-28,Celta,Alaves,D,2023-2024,LaLiga
2023-09-28,Granada,Betis,D,2023-2024,LaLiga
2023-09-28,Osasuna,Ath Madrid,A,2023-2024,LaLiga
2023-09-29,Barcelona,Sevilla,H,2023-2024,LaLiga
2023-09-30,Getafe,Villarreal,D,2023-2024,LaLiga
2023-09-30,Vallecano,Mallorca,D,2023-2024,LaLiga
2023-09-30,Girona,Real Madrid,A,2023-2024,LaLiga
2023-09-30,Sociedad,Ath Bilbao,H,2023-2024,LaLiga
2023-10-01,Almeria,Granada,D,2023-2024,LaLiga
2023-10-01,Alaves,Osasuna,A,2023-2024,LaLiga
2023-10-01,Ath Madrid,Cadiz,H,2023-2024,LaLiga
2023-10-01,Betis,Valencia,H,2023-2024,LaLiga
2023-10-02,Las Palmas,Celta,H,2023-2024,LaLiga
2023-10-06,Ath Bilbao,Almeria,H,2023-2024,LaLiga
2023-10-07,Cadiz,Girona,A,2023-2024,LaLiga
2023-10-07,Real Madrid,Osasuna,H,2023-2024,LaLiga
2023-10-07,Mallorca,Valencia,D,2023-2024,LaLiga
2023-10-07,Sevilla,Vallecano,D,2023-2024,LaLiga
2023-10-08,Villarreal,Las Palmas,A,2023-2024,LaLiga
2023-10-08,Ath Madrid,Sociedad,H,2023-2024,LaLiga
2023-10-08,Alaves,Betis,D,2023-2024,LaLiga
2023-10-08,Celta,Getafe,D,2023-2024,LaLiga
2023-10-08,Granada,Barcelona,D,2023-2024,LaLiga
2023-10-20,Osasuna,Granada,H,2023-2024,LaLiga
2023-10-21,Sociedad,Mallorca,H,2023-2024,LaLiga
2023-10-21,Getafe,Betis,D,2023-2024,LaLiga
2023-10-21,Sevilla,Real Madrid,D,2023-2024,LaLiga
2023-10-21,Celta,Ath Madrid,A,2023-2024,LaLiga
2023-10-22,Las Palmas,Vallecano,A,2023-2024,LaLiga
2023-10-22,Girona,Almeria,H,2023-2024,LaLiga
2023-10-22,Villarreal,Alaves,D,2023-2024,LaLiga
2023-10-22,Barcelona,Ath Bilbao,H,2023-2024,LaLiga
2023-10-23,Valencia,Cadiz,H,2023-2024,LaLiga
2023-10-27,Girona,Celta,H,2023-2024,LaLiga
2023-10-28,Almeria,Las Palmas,A,2023-2024,LaLiga
2023-10-28,Barcelona,Real Madrid,A,2023-2024,LaLiga
2023-10-28,Mallorca,Getafe,D,2023-2024,LaLiga
2023-10-28,Cadiz,Sevilla,D,2023-2024,LaLiga
2023-10-29,Betis,Osasuna,H,2023-2024,LaLiga
2023-10-29,Vallecano,Sociedad,D,2023-2024,LaLiga
2023-10-29,Ath Bilbao,Valencia,D,2023-2024,LaLiga
2023-10-29,Ath Madrid,Alaves,H,2023-2024,LaLiga
2023-10-30,Granada,Villarreal,A,2023-2024,LaLiga
2023-11-03,Las Palmas,Ath Madrid,H,2023-2024,LaLiga
2023-11-04,Osasuna,Girona,A,2023-2024,LaLiga
2023-11-04,Betis,Mallorca,H,2023-2024,LaLiga
2023-11-04,Celta,Sevilla,D,2023-2024,LaLiga
2023-11-04,Sociedad,Barcelona,A,2023-2024,LaLiga
2023-11-05,Alaves,Almeria,H,2023-2024,LaLiga
2023-11-05,Valencia,Granada,H,2023-2024,LaLiga
2023-11-05,Villarreal,Ath Bilbao,A,2023-2024,LaLiga
2023-11-05,Real Madrid,Vallecano,D,2023-2024,LaLiga
2023-11-06,Getafe,Cadiz,H,2023-2024,LaLiga
2023-11-10,Ath Bilbao,Celta,H,2023-2024,LaLiga
2023-11-11,Vallecano,Girona,A,2023-2024,LaLiga
2023-11-11,Almeria,Sociedad,A,2023-2024,LaLiga
2023-11-11,Granada,Getafe,D,2023-2024,LaLiga
2023-11-11,Osasuna,Las Palmas,D,2023-2024,LaLiga
2023-11-11,Real Madrid,Valencia,H,2023-2024,LaLiga
2023-11-12,Barcelona,Alaves,H,2023-2024,LaLiga
2023-11-12,Sevilla,Betis,D,2023-2024,LaLiga
2023-11-12,Ath Madrid,Villarreal,H,2023-2024,LaLiga
2023-11-24,Alaves,Granada,H,2023-2024,LaLiga
2023-11-25,Vallecano,Barcelona,D,2023-2024,LaLiga
2023-11-25,Valencia,Celta,D,2023-2024,LaLiga
2023-11-25,Getafe,Almeria,H,2023-2024,LaLiga
2023-11-25,Ath Madrid,Mallorca,H,2023-2024,LaLiga
2023-11-26,Villarreal,Osasuna,H,2023-2024,LaLiga
2023-11-26,Sociedad,Sevilla,H,2023-2024,LaLiga
2023-11-26,Cadiz,Real Madrid,A,2023-2024,LaLiga
2023-11-26,Betis,Las Palmas,H,2023-2024,LaLiga
2023-11-27,Girona,Ath Bilbao,D,2023-2024,LaLiga
2023-11-29,Mallorca,Cadiz,D,2023-2024,LaLiga
2023-12-01,Las Palmas,Getafe,H,2023-2024,LaLiga
2023-12-02,Girona,Valencia,H,2023-2024,LaLiga
2023-12-02,Ath Bilbao,Vallecano,H,2023-2024,LaLiga
2023-12-02,Real Madrid,Granada,H,2023-2024,LaLiga
2023-12-02,Osasuna,Sociedad,D,2023-2024,LaLiga
2023-12-03,Mallorca,Alaves,D,2023-2024,LaLiga
2023-12-03,Almeria,Betis,D,2023-2024,LaLiga
2023-12-03,Sevilla,Villarreal,D,2023-2024,LaLiga
2023-12-03,Barcelona,Ath Madrid,H,2023-2024,LaLiga
2023-12-04,Celta,Cadiz,D,2023-2024,LaLiga
2023-12-08,Getafe,Valencia,H,2023-2024,LaLiga
2023-12-09,Alaves,Las Palmas,A,2023-2024,LaLiga
2023-12-09,Betis,Real Madrid,D,2023-2024,LaLiga
2023-12-09,Villarreal,Sociedad,A,2023-2024,LaLiga
2023-12-09,Mallorca,Sevilla,H,2023-2024,LaLiga
2023-12-10,Ath Madrid,Almeria,H,2023-2024,LaLiga
2023-12-10,Cadiz,Osasuna,D,2023-2024,LaLiga
2023-12-10,Barcelona,Girona,A,2023-2024,LaLiga
2023-12-11,Granada,Ath Bilbao,D,2023-2024,LaLiga
2023-12-11,Vallecano,Celta,D,2023-2024,LaLiga
2023-12-15,Osasuna,Vallecano,H,2023-2024,LaLiga
2023-12-16,Celta,Granada,H,2023-2024,LaLiga
2023-12-16,Ath Bilbao,Ath Madrid,H,2023-2024,LaLiga
2023-12-16,Sevilla,Getafe,A,2023-2024,LaLiga
2023-12-16,Valencia,Barcelona,D,2023-2024,LaLiga
2023-12-17,Almeria,Mallorca,D,2023-2024,LaLiga
2023-12-17,Sociedad,Betis,D,2023-2024,LaLiga
2023-12-17,Las Palmas,Cadiz,D,2023-2024,LaLiga
2023-12-17,Real Madrid,Villarreal,H,2023-2024,LaLiga
2023-12-18,Girona,Alaves,H,2023-2024,LaLiga
2023-12-19,Vallecano,Valencia,A,2023-2024,LaLiga
2023-12-19,Ath Madrid,Getafe,D,2023-2024,LaLiga
2023-12-19,Granada,Sevilla,A,2023-2024,LaLiga
2023-12-20,Barcelona,Almeria,H,2023-2024,LaLiga
2023-12-20,Ath Bilbao,Las Palmas,H,2023-2024,LaLiga
2023-12-20,Villarreal,Celta,H,2023-2024,LaLiga
2023-12-21,Betis,Girona,D,2023-2024,LaLiga
2023-12-21,Cadiz,Sociedad,D,2023-2024,LaLiga
2023-12-21,Alaves,Real Madrid,A,2023-2024,LaLiga
2023-12-21,Mallorca,Osasuna,H,2023-2024,LaLiga
2023-12-23,Ath Madrid,Sevilla,H,2023-2024,LaLiga
2024-01-02,Getafe,Vallecano,A,2023-2024,LaLiga
2024-01-02,Sociedad,Alaves,D,2023-2024,LaLiga
2024-01-02,Valencia,Villarreal,H,2023-2024,LaLiga
2024-01-03,Granada,Cadiz,H,2023-2024,LaLiga
2024-01-03,Celta,Betis,H,2023-2024,LaLiga
2024-01-03,Real Madrid,Mallorca,H,2023-2024,LaLiga
2024-01-03,Girona,Ath Madrid,H,2023-2024,LaLiga
2024-01-04,Osasuna,Almeria,H,2023-2024,LaLiga
2024-01-04,Sevilla,Ath Bilbao,A,2023-2024,LaLiga
2024-01-04,Las Palmas,Barcelona,A,2023-2024,LaLiga
2024-01-12,Sevilla,Alaves,A,2023-2024,LaLiga
2024-01-13,Las Palmas,Villarreal,H,2023-2024,LaLiga
2024-01-13,Mallorca,Celta,D,2023-2024,LaLiga
2024-01-13,Ath Bilbao,Sociedad,H,2023-2024,LaLiga
2024-01-13,Betis,Granada,H,2023-2024,LaLiga
2024-01-14,Almeria,Girona,D,2023-2024,LaLiga
2024-01-14,Cadiz,Valencia,A,2023-2024,LaLiga
2024-01-19,Alaves,Cadiz,H,2023-2024,LaLiga
2024-01-20,Vallecano,Las Palmas,A,2023-2024,LaLiga
2024-01-20,Villarreal,Mallorca,D,2023-2024,LaLiga
2024-01-20,Valencia,Ath Bilbao,H,2023-2024,LaLiga
2024-01-20,Celta,Sociedad,A,2023-2024,LaLiga
2024-01-21,Osasuna,Getafe,H,2023-2024,LaLiga
2024-01-21,Real Madrid,Almeria,H,2023-2024,LaLiga
2024-01-21,Betis,Barcelona,A,2023-2024,LaLiga
2024-01-21,Girona,Sevilla,H,2023-2024,LaLiga
2024-01-22,Granada,Ath Madrid,A,2023-2024,LaLiga
2024-01-26,Almeria,Alaves,A,2023-2024,LaLiga
2024-01-27,Sociedad,Vallecano,D,2023-2024,LaLiga
2024-01-27,Las Palmas,Real Madrid,A,2023-2024,LaLiga
2024-01-27,Barcelona,Villarreal,A,2023-2024,LaLiga
2024-01-27,Mallorca,Betis,A,2023-2024,LaLiga
2024-01-28,Celta,Girona,A,2023-2024,LaLiga
2024-01-28,Cadiz,Ath Bilbao,D,2023-2024,LaLiga
2024-01-28,Sevilla,Osasuna,D,2023-2024,LaLiga
2024-01-28,Ath Madrid,Valencia,H,2023-2024,LaLiga
2024-01-29,Getafe,Granada,H,2023-2024,LaLiga
2024-01-31,Barcelona,Osasuna,H,2023-2024,LaLiga
2024-01-31,Ath Madrid,Vallecano,H,2023-2024,LaLiga
2024-02-01,Getafe,Real Madrid,A,2023-2024,LaLiga
2024-02-02,Ath Bilbao,Mallorca,H,2023-2024,LaLiga
2024-02-03,Valencia,Almeria,H,2023-2024,LaLiga
2024-02-03,Granada,Las Palmas,D,2023-2024,LaLiga
2024-02-03,Alaves,Barcelona,A,2023-2024,LaLiga
2024-02-03,Girona,Sociedad,D,2023-2024,LaLiga
2024-02-04,Villarreal,Cadiz,D,2023-2024,LaLiga
2024-02-04,Osasuna,Celta,A,2023-2024,LaLiga
2024-02-04,Betis,Getafe,D,2023-2024,LaLiga
2024-02-04,Real Madrid,Ath Madrid,D,2023-2024,LaLiga
2024-02-05,Vallecano,Sevilla,A,2023-2024,LaLiga
2024-02-09,Cadiz,Betis,A,2023-2024,LaLiga
2024-02-10,Alaves,Villarreal,D,2023-2024,LaLiga
2024-02-10,Sociedad,Osasuna,A,2023-2024,LaLiga
2024-02-10,Real Madrid,Girona,H,2023-2024,LaLiga
2024-02-10,Las Palmas,Valencia,H,2023-2024,LaLiga
2024-02-11,Getafe,Celta,H,2023-2024,LaLiga
2024-02-11,Mallorca,Vallecano,H,2023-2024,LaLiga
2024-02-11,Sevilla,Ath Madrid,H,2023-2024,LaLiga
2024-02-11,Barcelona,Granada,D,2023-2024,LaLiga
2024-02-12,Almeria,Ath Bilbao,D,2023-2024,LaLiga
2024-02-16,Villarreal,Getafe,D,2023-2024,LaLiga
2024-02-17,Ath Madrid,Las Palmas,H,2023-2024,LaLiga
2024-02-17,Osasuna,Cadiz,H,2023-2024,LaLiga
2024-02-17,Celta,Barcelona,A,2023-2024,LaLiga
2024-02-17,Valencia,Sevilla,D,2023-2024,LaLiga
2024-02-18,Vallecano,Real Madrid,D,2023-2024,LaLiga
2024-02-18,Granada,Almeria,D,2023-2024,LaLiga
2024-02-18,Mallorca,Sociedad,A,2023-2024,LaLiga
2024-02-18,Betis,Alaves,D,2023-2024,LaLiga
2024-02-19,Ath Bilbao,Girona,H,2023-2024,LaLiga
2024-02-23,Sociedad,Villarreal,A,2023-2024,LaLiga
2024-02-24,Barcelona,Getafe,H,2023-2024,LaLiga
2024-02-24,Alaves,Mallorca,D,2023-2024,LaLiga
2024-02-24,Almeria,Ath Madrid,D,2023-2024,LaLiga
2024-02-25,Cadiz,Celta,D,2023-2024,LaLiga
2024-02-25,Betis,Ath Bilbao,H,2023-2024,LaLiga
2024-02-25,Las Palmas,Osasuna,D,2023-2024,LaLiga
2024-02-25,Real Madrid,Sevilla,H,2023-2024,LaLiga
2024-02-26,Girona,Vallecano,H,2023-2024,LaLiga
2024-03-01,Celta,Almeria,H,2023-2024,LaLiga
2024-03-02,Sevilla,Sociedad,H,2023-2024,LaLiga
2024-03-02,Vallecano,Cadiz,D,2023-2024,LaLiga
2024-03-02,Getafe,Las Palmas,D,2023-2024,LaLiga
2024-03-02,Valencia,Real Madrid,D,2023-2024,LaLiga
2024-03-03,Villarreal,Granada,H,2023-2024,LaLiga
2024-03-03,Ath Madrid,Betis,H,2023-2024,LaLiga
2024-03-03,Mallorca,Girona,H,2023-2024,LaLiga
2024-03-03,Ath Bilbao,Barcelona,D,2023-2024,LaLiga
2024-03-04,Osasuna,Alaves,H,2023-2024,LaLiga
2024-03-08,Barcelona,Mallorca,H,2023-2024,LaLiga
2024-03-09,Valencia,Getafe,H,2023-2024,LaLiga
2024-03-09,Cadiz,Ath Madrid,H,2023-2024,LaLiga
2024-03-09,Granada,Sociedad,A,2023-2024,LaLiga
2024-03-09,Girona,Osasuna,H,2023-2024,LaLiga
2024-03-10,Alaves,Vallecano,H,2023-2024,LaLiga
2024-03-10,Las Palmas,Ath Bilbao,A,2023-2024,LaLiga
2024-03-10,Real Madrid,Celta,H,2023-2024,LaLiga
2024-03-10,Betis,Villarreal,A,2023-2024,LaLiga
2024-03-11,Almeria,Sevilla,D,2023-2024,LaLiga
2024-03-15,Sociedad,Cadiz,H,2023-2024,LaLiga
2024-03-16,Mallorca,Granada,H,2023-2024,LaLiga
2024-03-16,Osasuna,Real Madrid,A,2023-2024,LaLiga
2024-03-16,Getafe,Girona,H,2023-2024,LaLiga
2024-03-16,Ath Bilbao,Alaves,H,2023-2024,LaLiga
2024-03-17,Sevilla,Celta,A,2023-2024,LaLiga
2024-03-17,Las Palmas,Almeria,A,2023-2024,LaLiga
2024-03-17,Villarreal,Valencia,H,2023-2024,LaLiga
2024-03-17,Vallecano,Betis,H,2023-2024,LaLiga
2024-03-17,Ath Madrid,Barcelona,A,2023-2024,LaLiga
2024-03-29,Cadiz,Granada,H,2023-2024,LaLiga
2024-03-30,Getafe,Sevilla,A,2023-2024,LaLiga
2024-03-30,Almeria,Osasuna,A,2023-2024,LaLiga
2024-03-30,Valencia,Mallorca,D,2023-2024,LaLiga
2024-03-30,Barcelona,Las Palmas,H,2023-2024,LaLiga
2024-03-31,Celta,Vallecano,D,2023-2024,LaLiga
2024-03-31,Girona,Betis,H,2023-2024,LaLiga
2024-03-31,Alaves,Sociedad,A,2023-2024,LaLiga
2024-03-31,Real Madrid,Ath Bilbao,H,2023-2024,LaLiga
2024-04-01,Villarreal,Ath Madrid,A,2023-2024,LaLiga
2024-04-04,Granada,Valencia,A,2023-2024,LaLiga
2024-04-12,Betis,Celta,H,2023-2024,LaLiga
2024-04-13,Ath Madrid,Girona,H,2023-2024,LaLiga
2024-04-13,Vallecano,Getafe,D,2023-2024,LaLiga
2024-04-13,Mallorca,Real Madrid,A,2023-2024,LaLiga
2024-04-13,Cadiz,Barcelona,A,2023-2024,LaLiga
2024-04-14,Las Palmas,Sevilla,A,2023-2024,LaLiga
2024-04-14,Granada,Alaves,H,2023-2024,LaLiga
2024-04-14,Ath Bilbao,Villarreal,D,2023-2024,LaLiga
2024-04-14,Sociedad,Almeria,D,2023-2024,LaLiga
2024-04-15,Osasuna,Valencia,A,2023-2024,LaLiga
2024-04-19,Ath Bilbao,Granada,D,2023-2024,LaLiga
2024-04-20,Celta,Las Palmas,H,2023-2024,LaLiga
2024-04-20,Vallecano,Osasuna,H,2023-2024,LaLiga
2024-04-20,Valencia,Betis,A,2023-2024,LaLiga
2024-04-20,Girona,Cadiz,H,2023-2024,LaLiga
2024-04-21,Getafe,Sociedad,D,2023-2024,LaLiga
2024-04-21,Almeria,Villarreal,A,2023-2024,LaLiga
2024-04-21,Alaves,Ath Madrid,H,2023-2024,LaLiga
2024-04-21,Real Madrid,Barcelona,H,2023-2024,LaLiga
2024-04-22,Sevilla,Mallorca,H,2023-2024,LaLiga
2024-04-26,Sociedad,Real Madrid,A,2023-2024,LaLiga
2024-04-27,Las Palmas,Girona,A,2023-2024,LaLiga
2024-04-27,Almeria,Getafe,A,2023-2024,LaLiga
2024-04-27,Alaves,Celta,H,2023-2024,LaLiga
2024-04-27,Ath Madrid,Ath Bilbao,H,2023-2024,LaLiga
2024-04-28,Cadiz,Mallorca,D,2023-2024,LaLiga
2024-04-28,Granada,Osasuna,H,2023-2024,LaLiga
2024-04-28,Villarreal,Vallecano,H,2023-2024,LaLiga
2024-04-28,Betis,Sevilla,D,2023-2024,LaLiga
2024-04-29,Barcelona,Valencia,H,2023-2024,LaLiga
2024-05-03,Getafe,Ath Bilbao,A,2023-2024,LaLiga
2024-05-04,Sociedad,Las Palmas,H,2023-2024,LaLiga
2024-05-04,Real Madrid,Cadiz,H,2023-2024,LaLiga
2024-05-04,Girona,Barcelona,H,2023-2024,LaLiga
2024-05-04,Mallorca,Ath Madrid,A,2023-2024,LaLiga
2024-05-05,Osasuna,Betis,A,2023-2024,LaLiga
2024-05-05,Celta,Villarreal,H,2023-2024,LaLiga
2024-05-05,Valencia,Alaves,A,2023-2024,LaLiga
2024-05-05,Sevilla,Granada,H,2023-2024,LaLiga
2024-05-05,Vallecano,Almeria,A,2023-2024,LaLiga
2024-05-10,Alaves,Girona,D,2023-2024,LaLiga
2024-05-11,Mallorca,Las Palmas,H,2023-2024,LaLiga
2024-05-11,Villarreal,Sevilla,H,2023-2024,LaLiga
2024-05-11,Granada,Real Madrid,A,2023-2024,LaLiga
2024-05-11,Ath Bilbao,Osasuna,D,2023-2024,LaLiga
2024-05-12,Cadiz,Getafe,H,2023-2024,LaLiga
2024-05-12,Ath Madrid,Celta,H,2023-2024,LaLiga
2024-05-12,Valencia,Vallecano,D,2023-2024,LaLiga
2024-05-12,Betis,Almeria,H,2023-2024,LaLiga
2024-05-13,Barcelona,Sociedad,H,2023-2024,LaLiga
2024-05-14,Osasuna,Mallorca,D,2023-2024,LaLiga
2024-05-14,Real Madrid,Alaves,H,2023-2024,LaLiga
2024-05-14,Girona,Villarreal,A,2023-2024,LaLiga
2024-05-15,Sevilla,Cadiz,A,2023-2024,LaLiga
2024-05-15,Vallecano,Granada,H,2023-2024,LaLiga
2024-05-15,Celta,Ath Bilbao,H,2023-2024,LaLiga
2024-05-15,Getafe,Ath Madrid,A,2023-2024,LaLiga
2024-05-16,Las Palmas,Betis,D,2023-2024,LaLiga
2024-05-16,Almeria,Barcelona,A,2023-2024,LaLiga
2024-05-16,Sociedad,Valencia,H,2023-2024,LaLiga
2024-05-18,Alaves,Getafe,H,2023-2024,LaLiga
2024-05-19,Ath Bilbao,Sevilla,H,2023-2024,LaLiga
2024-05-19,Ath Madrid,Osasuna,A,2023-2024,LaLiga
2024-05-19,Barcelona,Vallecano,H,2023-2024,LaLiga
2024-05-19,Betis,Sociedad,A,2023-2024,LaLiga
2024-05-19,Cadiz,Las Palmas,D,2023-2024,LaLiga
2024-05-19,Granada,Celta,A,2023-2024,LaLiga
2024-05-19,Mallorca,Almeria,D,2023-2024,LaLiga
2024-05-19,Valencia,Girona,A,2023-2024,LaLiga
2024-05-19,Villarreal,Real Madrid,D,2023-2024,LaLiga
2024-05-24,Girona,Granada,H,2023-2024,LaLiga
2024-05-25,Osasuna,Villarreal,D,2023-2024,LaLiga
2024-05-25,Sociedad,Ath Madrid,A,2023-2024,LaLiga
2024-05-25,Almeria,Cadiz,H,2023-2024,LaLiga
2024-05-25,Vallecano,Ath Bilbao,A,2023-2024,LaLiga
2024-05-25,Real Madrid,Betis,D,2023-2024,LaLiga
2024-05-26,Getafe,Mallorca,A,2023-2024,LaLiga
2024-05-26,Celta,Valencia,D,2023-2024,LaLiga
2024-05-26,Las Palmas,Alaves,D,2023-2024,LaLiga
2024-05-26,Sevilla,Barcelona,A,2023-2024,LaLiga
2024-08-16,Man United,Fulham,H,2024-2025,EPL
2024-08-17,Ipswich,Liverpool,A,2024-2025,EPL
2024-08-17,Arsenal,Wolves,H,2024-2025,EPL
2024-08-17,Everton,Brighton,A,2024-2025,EPL
2024-08-17,Newcastle,Southampton,H,2024-2025,EPL
2024-08-17,Nott'm Forest,Bournemouth,D,2024-2025,EPL
2024-08-17,West Ham,Aston Villa,A,2024-2025,EPL
2024-08-18,Brentford,Crystal Palace,H,2024-2025,EPL
2024-08-18,Chelsea,Man City,A,2024-2025,EPL
2024-08-19,Leicester,Tottenham,D,2024-2025,EPL
2024-08-24,Brighton,Man United,H,2024-2025,EPL
2024-08-24,Crystal Palace,West Ham,A,2024-2025,EPL
2024-08-24,Fulham,Leicester,H,2024-2025,EPL
2024-08-24,Man City,Ipswich,H,2024-2025,EPL
2024-08-24,Southampton,Nott'm Forest,A,2024-2025,EPL
2024-08-24,Tottenham,Everton,H,2024-2025,EPL
2024-08-24,Aston Villa,Arsenal,A,2024-2025,EPL
2024-08-25,Bournemouth,Newcastle,D,2024-2025,EPL
2024-08-25,Wolves,Chelsea,A,2024-2025,EPL
2024-08-25,Liverpool,Brentford,H,2024-2025,EPL
2024-08-31,Arsenal,Brighton,D,2024-2025,EPL
2024-08-31,Brentford,Southampton,H,2024-2025,EPL
2024-08-31,Everton,Bournemouth,A,2024-2025,EPL
2024-08-31,Ipswich,Fulham,D,2024-2025,EPL
2024-08-31,Leicester,Aston Villa,A,2024-2025,EPL
2024-08-31,Nott'm Forest,Wolves,D,2024-2025,EPL
2024-08-31,West Ham,Man City,A,2024-2025,EPL
2024-09-01,Chelsea,Crystal Palace,D,2024-2025,EPL
2024-09-01,Newcastle,Tottenham,H,2024-2025,EPL
2024-09-01,Man United,Liverpool,A,2024-2025,EPL
2024-09-14,Southampton,Man United,A,2024-2025,EPL
2024-09-14,Brighton,Ipswich,D,2024-2025,EPL
2024-09-14,Crystal Palace,Leicester,D,2024-2025,EPL
2024-09-14,Fulham,West Ham,D,2024-2025,EPL
2024-09-14,Liverpool,Nott'm Forest,A,2024-2025,EPL
2024-09-14,Man City,Brentford,H,2024-2025,EPL
2024-09-14,Aston Villa,Everton,H,2024-2025,EPL
2024-09-14,Bournemouth,Chelsea,A,2024-2025,EPL
2024-09-15,Tottenham,Arsenal,A,2024-2025,EPL
2024-09-15,Wolves,Newcastle,A,2024-2025,EPL
2024-09-21,West Ham,Chelsea,A,2024-2025,EPL
2024-09-21,Aston Villa,Wolves,H,2024-2025,EPL
2024-09-21,Fulham,Newcastle,H,2024-2025,EPL
2024-09-21,Leicester,Everton,D,2024-2025,EPL
2024-09-21,Liverpool,Bournemouth,H,2024-2025,EPL
2024-09-21,Southampton,Ipswich,D,2024-2025,EPL
2024-09-21,Tottenham,Brentford,H,2024-2025,EPL
2024-09-21,Crystal Palace,Man United,D,2024-2025,EPL
2024-09-22,Brighton,Nott'm Forest,D,2024-2025,EPL
2024-09-22,Man City,Arsenal,D,2024-2025,EPL
2024-09-28,Newcastle,Man City,D,2024-2025,EPL
2024-09-28,Arsenal,Leicester,H,2024-2025,EPL
2024-09-28,Brentford,West Ham,D,2024-2025,EPL
2024-09-28,Chelsea,Brighton,H,2024-2025,EPL
2024-09-28,Everton,Crystal Palace,H,2024-2025,EPL
2024-09-28,Nott'm Forest,Fulham,A,2024-2025,EPL
2024-09-28,Wolves,Liverpool,A,2024-2025,EPL
2024-09-29,Ipswich,Aston Villa,D,2024-2025,EPL
2024-09-29,Man United,Tottenham,A,2024-2025,EPL
2024-09-30,Bournemouth,Southampton,H,2024-2025,EPL
2024-10-05,Crystal Palace,Liverpool,A,2024-2025,EPL
2024-10-05,Arsenal,Southampton,H,2024-2025,EPL
2024-10-05,Brentford,Wolves,H,2024-2025,EPL
2024-10-05,Leicester,Bournemouth,H,2024-2025,EPL
2024-10-05,Man City,Fulham,H,2024-2025,EPL
2024-10-05,West Ham,Ipswich,H,2024-2025,EPL
2024-10-05,Everton,Newcastle,D,2024-2025,EPL
2024-10-06,Aston Villa,Man United,D,2024-2025,EPL
2024-10-06,Chelsea,Nott'm Forest,D,2024-2025,EPL
2024-10-06,Brighton,Tottenham,H,2024-2025,EPL
2024-10-19,Tottenham,West Ham,H,2024-2025,EPL
2024-10-19,Fulham,Aston Villa,A,2024-2025,EPL
2024-10-19,Ipswich,Everton,A,2024-2025,EPL
2024-10-19,Man United,Brentford,H,2024-2025,EPL
2024-10-19,Newcastle,Brighton,A,2024-2025,EPL
2024-10-19,Southampton,Leicester,A,2024-2025,EPL
2024-10-19,Bournemouth,Arsenal,H,2024-2025,EPL
2024-10-20,Wolves,Man City,A,2024-2025,EPL
2024-10-20,Liverpool,Chelsea,H,2024-2025,EPL
2024-10-21,Nott'm Forest,Crystal Palace,H,2024-2025,EPL
2024-10-25,Leicester,Nott'm Forest,A,2024-2025,EPL
2024-10-26,Aston Villa,Bournemouth,D,2024-2025,EPL
2024-10-26,Brentford,Ipswich,H,2024-2025,EPL
2024-10-26,Brighton,Wolves,D,2024-2025,EPL
2024-10-26,Man City,Southampton,H,2024-2025,EPL
2024-10-26,Everton,Fulham,D,2024-2025,EPL
2024-10-27,Chelsea,Newcastle,H,2024-2025,EPL
2024-10-27,Crystal Palace,Tottenham,H,2024-2025,EPL
2024-10-27,West Ham,Man United,H,2024-2025,EPL
2024-10-27,Arsenal,Liverpool,D,2024-2025,EPL
2024-11-02,Newcastle,Arsenal,H,2024-2025,EPL
2024-11-02,Bournemouth,Man City,H,2024-2025,EPL
2024-11-02,Ipswich,Leicester,D,2024-2025,EPL
2024-11-02,Liverpool,Brighton,H,2024-2025,EPL
2024-11-02,Nott'm Forest,West Ham,H,2024-2025,EPL
2024-11-02,Southampton,Everton,H,2024-2025,EPL
2024-11-02,Wolves,Crystal Palace,D,2024-2025,EPL
2024-11-03,Tottenham,Aston Villa,H,2024-2025,EPL
2024-11-03,Man United,Chelsea,D,2024-2025,EPL
